TTD TANK PPT WETWT STDLGTH
97 13  0.0 0.066 1.6
97 13  0.0 0.036 1.3
97 13  0.0 0.344 2.7  
97 13  0.0 0.058 1.5
97 13  0.0 0.061 1.6
97 13  0.0 0.063 1.6
97 13  0.0 0.053 1.5
97 13  0.0 0.045 1.4
97 13  0.0 0.103 1.9
97 13  0.0 0.079 1.7
97 13  0.0 0.070 1.7
97 13  0.0 0.101 1.8
97 13  0.0 0.055 1.5
97 13  0.0 0.724 3.7
97 13  0.0 0.077 1.6
97 13  0.0 0.054 1.5
97 13  0.0 0.052 1.4
97 13  0.0 0.037 1.3
97 13  0.0 0.061 1.5
97 14  0.0 0.071 1.6
97 14  0.0 0.052 1.4
97 14  0.0 0.091 1.8
97 14  0.0 0.103 2.0
97 14  0.0 0.063 1.6
97 14  0.0 0.085 1.7
97 14  0.0 0.064 1.5
97 14  0.0 0.301 2.9
97 14  0.0 0.079 1.6
97 14  0.0 0.107 1.9
97 14  0.0 0.557 3.2
97 14  0.0 0.061 1.4
97 14  0.0 0.096 1.8
97 14  0.0 0.733 3.5
97 14  0.0 0.182 2.3
97 14  0.0 0.071 1.6
97 14  0.0 0.050 1.4
97 14  0.0 0.234 2.5
97 14  0.0 0.091 1.7
97 14  0.0 0.045 1.2
97 14  0.0 0.058 1.4
97 14  0.0 0.069 1.6
97 14  0.0 0.084 1.5
97 14  0.0 0.104 1.7
97 14  0.0 0.099 1.6
97 14  0.0 0.071 1.5
97 14  0.0 0.076 1.7
97 14  0.0 0.447 3.2
97 14  0.0 0.109 1.8
97 14  0.0 0.130 2.2
97 14  0.0 0.102 1.8
97 14  0.0 0.074 1.6
97 14  0.0 0.139 2.0
97 14  0.0 0.105 1.8
97 14  0.0 0.125 1.7
97 14  0.0 0.059 1.4
97 14  0.0 0.070 1.6
97 14  0.0 0.047 1.4
97 14  0.0 0.094 1.7
      10.3 0.136    
      10.8 0.136     
      11.6 0.136     
      13.2 0.136     
      15.8 0.136     
      20.1 0.136            
